SCD;21NOV12
RowNr;RD;RA;CD;CA;AL;FNR;SNR;DEP;ARR;STD;DDC;STA;ADC;Mo;Tu;We;Th;Fr;Sa;So;ACtype;ACtypefullname;AG;AGfullname;Start_Op;End_Op
65;EU;EU;DE;DE;LH;LH009;0;HAM;FRA;0900;0;1015;0;;;3;4;5;;;319;AirbusA319;O;Others;20DEC12;04JAN13
66;EU;EU;DE;DE;LH;LH010;0;FRA;HAM;0900;0;1005;0;1;;3;4;;6;;321;AirbusA321-100/200;W;PAXULD;19NOV12;24NOV12
67;EU;EU;DE;DE;LH;LH010;0;FRA;HAM;0900;0;1005;0;1;2;;;5;;;320;AirbusA320-100/200;W;PAXULD;20NOV12;26NOV12
68;EU;EU;DE;DE;LH;LH010;0;FRA;HAM;0900;0;1005;0;;2;;4;;;;321;AirbusA321-100/200;W;PAXULD;27NOV12;29NOV12
69;EU;EU;DE;DE;LH;LH010;0;FRA;HAM;0900;0;1005;0;;;3;;5;;;321;AirbusA321-100/200;W;PAXULD;28NOV12;07DEC12
70;EU;EU;DE;DE;LH;LH010;0;FRA;HAM;0900;0;1005;0;1;2;;4;;6;;319;AirbusA319;O;Others;01DEC12;22DEC12
71;EU;EU;DE;DE;LH;LH010;0;FRA;HAM;0900;0;1005;0;;;3;;;;;320;AirbusA320-100/200;W;PAXULD;12DEC12;12DEC12
72;EU;EU;DE;DE;LH;LH010;0;FRA;HAM;0900;0;1005;0;;;3;;5;;;319;AirbusA319;O;Others;14DEC12;21DEC12
73;EU;EU;DE;DE;LH;LH011;0;HAM;FRA;0930;0;1045;0;1;2;3;4;;;;321;AirbusA321-100/200;W;PAXULD;20NOV12;19DEC12
74;EU;EU;DE;DE;LH;LH011;0;HAM;FRA;0930;0;1045;0;;;;;5;;;321;AirbusA321-100/200;W;PAXULD;16NOV12;21DEC12
75;EU;EU;DE;DE;LH;LH011;0;HAM;FRA;0930;0;1045;0;;;;4;;;;320;AirbusA320-100/200;W;PAXULD;20DEC12;20DEC12
76;EU;EU;DE;DE;LH;LH012;0;FRA;HAM;1000;0;1105;0;;;3;4;5;;;321;AirbusA321-100/200;W;PAXULD;21NOV12;23NOV12
77;EU;EU;DE;DE;LH;LH012;0;FRA;HAM;1000;0;1105;0;;2;;;;6;7;319;AirbusA319;O;Others;20NOV12;27NOV12
78;EU;EU;DE;DE;LH;LH012;0;FRA;HAM;1000;0;1105;0;1;;3;;;;;321;AirbusA321-100/200;W;PAXULD;26NOV12;28NOV12
79;EU;EU;DE;DE;LH;LH012;0;FRA;HAM;1000;0;1105;0;;;;4;5;;;319;AirbusA319;O;Others;29NOV12;30NOV12
80;EU;EU;DE;DE;LH;LH012;0;FRA;HAM;1000;0;1105;0;;;;;;6;7;320;AirbusA320-100/200;W;PAXULD;01DEC12;08DEC12
81;EU;EU;DE;DE;LH;LH012;0;FRA;HAM;1000;0;1105;0;1;2;;;;;;319;AirbusA319;O;Others;03DEC12;04DEC12
82;EU;EU;DE;DE;LH;LH012;0;FRA;HAM;1000;0;1105;0;1;2;3;4;5;;;321;AirbusA321-100/200;W;PAXULD;05DEC12;11DEC12
83;EU;EU;DE;DE;LH;LH012;0;FRA;HAM;1000;0;1105;0;;;;;;;7;321;AirbusA321-100/200;W;PAXULD;09DEC12;09DEC12
84;EU;EU;DE;DE;LH;LH012;0;FRA;HAM;1000;0;1105;0;;;3;4;;;;319;AirbusA319;O;Others;12DEC12;19DEC12
85;EU;EU;DE;DE;LH;LH012;0;FRA;HAM;1000;0;1105;0;;;;4;5;;;321;AirbusA321-100/200;W;PAXULD;14DEC12;20DEC12
86;EU;EU;DE;DE;LH;LH012;0;FRA;HAM;1000;0;1105;0;1;2;;;5;6;7;319;AirbusA319;O;Others;15DEC12;04JAN13
87;EU;EU;DE;DE;LH;LH013;0;HAM;FRA;1000;0;1115;0;;;;;;6;;321;AirbusA321-100/200;W;PAXULD;17NOV12;30MAR13
88;EU;EU;DE;DE;LH;LH013;0;HAM;FRA;1000;0;1115;0;1;;;;;;7;321;AirbusA321-100/200;W;PAXULD;19NOV12;25NOV12
89;EU;EU;DE;DE;LH;LH013;0;HAM;FRA;1000;0;1115;0;;;;4;;;;320;AirbusA320-100/200;W;PAXULD;22NOV12;22NOV12
90;EU;EU;DE;DE;LH;LH013;0;HAM;FRA;1000;0;1115;0;1;;3;4;5;;;319;AirbusA319;O;Others;23NOV12;30NOV12
91;EU;EU;DE;DE;LH;LH013;0;HAM;FRA;1000;0;1115;0;;2;;;;;7;321;AirbusA321-100/200;W;PAXULD;27NOV12;02DEC12
92;EU;EU;DE;DE;LH;LH013;0;HAM;FRA;1000;0;1115;0;1;2;;;;;7;320;AirbusA320-100/200;W;PAXULD;03DEC12;11DEC12
93;EU;EU;DE;DE;LH;LH013;0;HAM;FRA;1000;0;1115;0;;;3;;5;;;319;AirbusA319;O;Others;05DEC12;07DEC12
94;EU;EU;DE;DE;LH;LH013;0;HAM;FRA;1000;0;1115;0;;;3;4;;;;319;AirbusA319;O;Others;06DEC12;13DEC12
95;EU;EU;DE;DE;LH;LH013;0;HAM;FRA;1000;0;1115;0;;;3;;5;;;319;AirbusA319;O;Others;14DEC12;21DEC12
96;EU;EU;DE;DE;LH;LH013;0;HAM;FRA;1000;0;1115;0;;;;;;;7;321;AirbusA321-100/200;W;PAXULD;16DEC12;23DEC12
97;EU;EU;DE;DE;LH;LH013;0;HAM;FRA;1000;0;1115;0;1;2;;4;;;;320;AirbusA320-100/200;W;PAXULD;17DEC12;20DEC12
